dataset,split,model,experiment,seed,AP_easy,AP_mod,AP_hard,mAP50,MR_hard,FPS
kitti,val,yolov8x,combined_best_two,123,95.0,66.86,45.39,86.87,41.589999999999996,23.35
kitti,val,yolov8x,combined_best_two,456,95.22,69.34,44.17,87.3,42.78,25.0
kitti,val,yolov8x,cutout,42,94.93,66.33,44.24,87.37,38.89,24.47
kitti,val,yolov8x,cutout,123,95.3,67.85,46.35,87.63,39.98,24.59
kitti,val,yolov8x,cutout,456,95.02000000000001,67.78999999999999,46.01,87.24,39.35,24.85
kitti,val,yolov8x,gridcut,42,95.21,70.62,46.88,87.68,39.1,24.77
kitti,val,yolov8x,gridcut,123,94.97,72.65,44.800000000000004,87.91,41.02,24.83
kitti,val,yolov8x,gridcut,456,95.0,69.28,45.64,87.99,39.93,24.79
kitti,val,yolov8x,hs,42,95.42,64.87,43.8,87.29,40.54,24.77
kitti,val,yolov8x,hs,123,95.67,68.94,43.97,88.1,39.83,24.77
kitti,val,yolov8x,hs,456,94.86,69.34,49.05,87.91,37.059999999999995,24.77
kitti,val,yolov8x,random_erasing,42,95.22,67.61,44.79,87.39,40.37,24.75
kitti,val,yolov8x,random_erasing,123,95.16,68.28999999999999,44.96,87.63,39.379999999999995,24.74
kitti,val,yolov8x,random_erasing,456,94.76,64.83,46.6,86.86,39.03,24.77
